,time_value,geo_value,cc,value,sample_size
913,2020-09-26,al,1,83.52718420000001,3177.0959999999995
964,2020-09-27,al,1,83.146135,3212.098
1015,2020-09-28,al,1,83.1406786,3211.1014
1066,2020-09-29,al,1,83.01024140000001,3257.0922
1117,2020-09-30,al,1,82.4513188,3176.0849
1168,2020-10-01,al,1,82.3184952,3220.085
1219,2020-10-02,al,1,82.9454058,3186.0902
1270,2020-10-03,al,1,83.4893226,3188.0763
1321,2020-10-04,al,1,83.7148172,3183.0754
1372,2020-10-05,al,1,83.4604882,3134.0623
1423,2020-10-06,al,1,83.1798448,3153.0571
1474,2020-10-07,al,1,83.13862280000001,3258.0778
1525,2020-10-08,al,1,83.34307199999999,3268.086
1576,2020-10-09,al,1,83.64341879999999,3328.0716
1627,2020-10-10,al,1,82.8547609,3414.0839
1678,2020-10-11,al,1,83.0250498,3407.0748
1729,2020-10-12,al,1,83.1165676,3467.091
1780,2020-10-13,al,1,83.6075731,3394.1007
1831,2020-10-14,al,1,83.8133886,3363.0852
1882,2020-10-15,al,1,83.3580556,3301.0901
1933,2020-10-16,al,1,83.4144955,3258.0941
1984,2020-10-17,al,1,83.6838866,3177.0951
2035,2020-10-18,al,1,83.28438670000001,3119.0979
2086,2020-10-19,al,1,83.058814,3042.0951
2137,2020-10-20,al,1,82.6549046,3023.0883
2188,2020-10-21,al,1,82.25577779999999,2955.0935
2239,2020-10-22,al,1,82.58496579999999,2919.0827
2290,2020-10-23,al,1,81.9206631,2867.0814
2341,2020-10-24,al,1,81.49226230000001,2806.0789
2392,2020-10-25,al,1,81.62663559999999,2734.0821
2443,2020-10-26,al,1,81.8396012,2722.0641
2494,2020-10-27,al,1,82.10106009999998,2583.0603
2545,2020-10-28,al,1,82.4548121,2447.0587
2596,2020-10-29,al,1,82.73819559999998,2296.0536
2647,2020-10-30,al,1,83.2781463,2113.0545
2698,2020-10-31,al,1,83.70933620000001,2083.0532
2749,2020-11-01,al,1,83.1923686,2126.0457
2800,2020-11-02,al,1,82.85655229999999,2131.0443
2851,2020-11-03,al,1,82.56570909999999,2170.0513
2902,2020-11-04,al,1,82.23468249999999,2062.0394
2953,2020-11-05,al,1,82.1640518,2009.0462
3004,2020-11-06,al,1,81.80714959999999,2085.0431
3055,2020-11-07,al,1,81.2562816,1933.0346
3106,2020-11-08,al,1,80.5821603,1768.0351
3157,2020-11-09,al,1,80.41770229999999,1697.0418
3208,2020-11-10,al,1,80.6813932,1803.0421
3259,2020-11-11,al,1,81.29879140000001,2039.0644
3310,2020-11-12,al,1,81.71009959999999,2227.0679
3361,2020-11-13,al,1,82.06851590000001,2305.064
3412,2020-11-14,al,1,82.46330920000001,2528.0792
3463,2020-11-15,al,1,83.37532370000001,2763.0857
3514,2020-11-16,al,1,83.8960059,2902.0885
3565,2020-11-17,al,1,84.4022915,2868.0849
3616,2020-11-18,al,1,84.79986170000001,2897.071
3667,2020-11-19,al,1,85.45907220000001,2939.0758
3718,2020-11-20,al,1,85.6737205,3018.0909
3769,2020-11-21,al,1,86.5773984,3117.0915
3820,2020-11-22,al,1,86.7983049,3154.0918
3871,2020-11-23,al,1,86.8615645,3154.0918
3922,2020-11-24,al,1,87.0203786,3208.1067
3973,2020-11-25,al,1,87.2881373,3252.1149
4024,2020-11-26,al,1,87.3246098,3285.1158
4075,2020-11-27,al,1,86.99778149999999,3310.1188
4126,2020-11-28,al,1,86.1163558,3287.1122
4177,2020-11-29,al,1,85.8667588,3328.1125
4228,2020-11-30,al,1,86.15839229999999,3362.1151
4279,2020-12-01,al,1,86.3403551,3480.1227
