,time_value,geo_value,cc,value,sample_size
1332,2020-10-04,ia,12,78.1475978,3272.5353
1383,2020-10-05,ia,12,78.8803173,3276.2713
1434,2020-10-06,ia,12,78.4909488,3384.3153
1485,2020-10-07,ia,12,78.43429029999999,3472.3079
1536,2020-10-08,ia,12,78.1579412,3451.3078
1587,2020-10-09,ia,12,78.5583533,3464.3234
1638,2020-10-10,ia,12,78.9779089,3457.3101
1689,2020-10-11,ia,12,78.5648166,3451.3101
1740,2020-10-12,ia,12,78.19832070000001,3412.6852
1791,2020-10-13,ia,12,77.67663929999999,3328.7137
1842,2020-10-14,ia,12,78.0358559,3269.8313
1893,2020-10-15,ia,12,78.6771325,3236.8314
1944,2020-10-16,ia,12,78.18317009999998,3208.5959999999995
1995,2020-10-17,ia,12,78.03226640000001,3177.6538
2046,2020-10-18,ia,12,78.56715109999999,3158.5711
2097,2020-10-19,ia,12,78.9186871,3168.5654
2148,2020-10-20,ia,12,79.98730350000001,3197.5255
2199,2020-10-21,ia,12,80.24358050000001,3183.3356
2250,2020-10-22,ia,12,80.1715964,3111.3141
2301,2020-10-23,ia,12,80.1906715,3034.5456
2352,2020-10-24,ia,12,79.76124759999999,2984.4113
2403,2020-10-25,ia,12,79.8699117,2926.4109
2454,2020-10-26,ia,12,80.2806751,2850.304
2505,2020-10-27,ia,12,80.218839,2710.3904
2556,2020-10-28,ia,12,80.27953959999999,2556.4692
2607,2020-10-29,ia,12,80.75799359999999,2422.4557
2658,2020-10-30,ia,12,81.5858001,2368.4209
2709,2020-10-31,ia,12,82.8171066,2387.5436
2760,2020-11-01,ia,12,82.6203939,2475.6528
2811,2020-11-02,ia,12,82.2527511,2559.6983
2862,2020-11-03,ia,12,82.4105035,2582.6635
2913,2020-11-04,ia,12,82.0208991,2487.7418
2964,2020-11-05,ia,12,81.6838535,2485.7496
3015,2020-11-06,ia,12,81.507649,2574.5676
3066,2020-11-07,ia,12,80.43306159999999,2407.5674
3117,2020-11-08,ia,12,80.3165785,2164.5295
3168,2020-11-09,ia,12,81.21173759999999,2155.5049
3219,2020-11-10,ia,12,82.5577804,2373.4587
3270,2020-11-11,ia,12,83.8781787,2704.3916
3321,2020-11-12,ia,12,84.23615190000001,2981.3029
3372,2020-11-13,ia,12,84.335033,3141.4005
3423,2020-11-14,ia,12,85.5834505,3489.3019
3474,2020-11-15,ia,12,86.0841304,3873.0123
3525,2020-11-16,ia,12,86.3863362,3989.0699
3576,2020-11-17,ia,12,86.4471007,3939.9597
3627,2020-11-18,ia,12,86.4397561,3982.0707
3678,2020-11-19,ia,12,86.81987600000001,4006.1459
3729,2020-11-20,ia,12,87.94769529999999,4033.2649
3780,2020-11-21,ia,12,88.2725505,4043.3312
3831,2020-11-22,ia,12,88.5334058,4057.5329
3882,2020-11-23,ia,12,89.0110054,4006.4221
3933,2020-11-24,ia,12,89.740507,4009.6017
3984,2020-11-25,ia,12,90.18277909999999,3986.5572
4035,2020-11-26,ia,12,90.3694908,4001.5651
4086,2020-11-27,ia,12,90.2508694,3942.486
4137,2020-11-28,ia,12,90.3442031,3887.3958
4188,2020-11-29,ia,12,90.9400064,3844.4354
4239,2020-11-30,ia,12,90.81107850000001,3877.5422
4290,2020-12-01,ia,12,90.23524549999999,3976.5306
4341,2020-12-02,ia,12,89.7878892,3978.5524
4392,2020-12-03,ia,12,89.8178853,3980.4529
4443,2020-12-04,ia,12,89.8169345,3969.3977
4494,2020-12-05,ia,12,89.9332335,3975.5321
4545,2020-12-06,ia,12,89.4666568,3961.5368
4596,2020-12-07,ia,12,89.62982640000001,3927.454
13,2020-09-08,il,13,87.3274162,1013.0
58,2020-09-09,id,13,70.37515440000001,507.0202
109,2020-09-10,id,13,70.80506609999999,833.0495
160,2020-09-11,id,13,70.8497142,1119.059
211,2020-09-12,id,13,71.0879117,1429.015
262,2020-09-13,id,13,70.9332435,1762.0339999999999
313,2020-09-14,id,13,70.9509121,2066.0439
364,2020-09-15,id,13,72.33006429999999,2129.3172
415,2020-09-16,id,13,72.35632209999999,2113.2534
466,2020-09-17,id,13,72.7972691,2052.3284
517,2020-09-18,id,13,72.74467270000001,2004.3375
568,2020-09-19,id,13,73.222951,1913.3831
619,2020-09-20,id,13,73.1157062,1857.3925
670,2020-09-21,id,13,73.23810440000001,1802.4014
721,2020-09-22,id,13,72.4141402,1759.4106
772,2020-09-23,id,13,72.4468312,1732.4645
823,2020-09-24,id,13,72.3897467,1739.3694
874,2020-09-25,id,13,73.0877063,1743.6339
925,2020-09-26,id,13,72.99400190000001,1759.5974
976,2020-09-27,id,13,73.6151819,1736.5784
1027,2020-09-28,id,13,73.43828559999999,1747.5607
1078,2020-09-29,id,13,73.49198259999999,1770.392
1129,2020-09-30,id,13,73.3973223,1775.4005
1180,2020-10-01,id,13,73.1207301,1753.4007
1231,2020-10-02,id,13,72.66639359999999,1750.2336
1282,2020-10-03,id,13,72.55939040000001,1798.2964
1333,2020-10-04,id,13,72.4253191,1800.2339
1384,2020-10-05,id,13,73.0619704,1824.243
1435,2020-10-06,id,13,72.9048662,1850.1479
1486,2020-10-07,id,13,72.7770605,1878.1571
1537,2020-10-08,id,13,72.9984583,1886.1578
1588,2020-10-09,id,13,73.5329632,1882.3423
1639,2020-10-10,id,13,73.6801442,1821.5533
1690,2020-10-11,id,13,73.87420340000001,1850.6067
1741,2020-10-12,id,13,73.8007252,1841.5968
1792,2020-10-13,id,13,74.1531272,1804.8173
1843,2020-10-14,id,13,74.67095959999999,1748.0631
1894,2020-10-15,id,13,75.28506690000002,1751.0622
1945,2020-10-16,id,13,75.0391685,1737.7718
1996,2020-10-17,id,13,75.4199137,1751.5329
2047,2020-10-18,id,13,75.093823,1716.5422
2098,2020-10-19,id,13,74.848106,1695.8245
2149,2020-10-20,id,13,74.8738232,1689.6046
2200,2020-10-21,id,13,75.0373137,1719.6137
2251,2020-10-22,id,13,74.5056571,1675.8877
2302,2020-10-23,id,13,74.22339079999999,1645.8869
2353,2020-10-24,id,13,74.1091607,1630.8965
2404,2020-10-25,id,13,75.10522359999999,1619.9055
2455,2020-10-26,id,13,75.42926429999999,1588.7664
2506,2020-10-27,id,13,75.60848,1530.7471
2557,2020-10-28,id,13,76.2848698,1460.58
2608,2020-10-29,id,13,76.83421949999999,1404.5883
2659,2020-10-30,id,13,77.51039109999999,1344.5792
2710,2020-10-31,id,13,75.95361329999999,1365.5891
2761,2020-11-01,id,13,75.2676923,1384.6859
2812,2020-11-02,id,13,74.8964852,1415.5614
2863,2020-11-03,id,13,74.5995654,1426.5614
2914,2020-11-04,id,13,73.2916859,1330.4457
2965,2020-11-05,id,13,72.86892900000001,1269.1548
3016,2020-11-06,id,13,73.73316700000001,1326.1737
3067,2020-11-07,id,13,74.6785847,1186.1635
3118,2020-11-08,id,13,75.4748077,1053.0582
3169,2020-11-09,id,13,76.9722638,991.3216
3220,2020-11-10,id,13,78.0370954,1057.4019
3271,2020-11-11,id,13,79.4042372,1190.7796
3322,2020-11-12,id,13,79.4055652,1326.816
3373,2020-11-13,id,13,79.266653,1375.797
3424,2020-11-14,id,13,80.4553521,1536.0085
3475,2020-11-15,id,13,80.44222459999999,1718.9993
3526,2020-11-16,id,13,80.82991820000001,1796.0591
3577,2020-11-17,id,13,80.93731269999999,1774.9878
3628,2020-11-18,id,13,80.65118249999999,1784.9019
3679,2020-11-19,id,13,81.2988807,1830.7171
3730,2020-11-20,id,13,81.3991356,1856.7185
3781,2020-11-21,id,13,81.1241798,1861.727
3832,2020-11-22,id,13,81.93051700000001,1839.7007
3883,2020-11-23,id,13,82.1229392,1825.3679
3934,2020-11-24,id,13,83.157504,1860.3696
3985,2020-11-25,id,13,83.5643459,1900.3609
4036,2020-11-26,id,13,83.32897779999999,1885.5088
4087,2020-11-27,id,13,83.4556865,1875.7808
4138,2020-11-28,id,13,84.17219759999999,1897.5611
4189,2020-11-29,id,13,83.5856106,1896.4029
4240,2020-11-30,id,13,83.49714209999999,1904.4124
4291,2020-12-01,id,13,83.2481478,1953.6931
4342,2020-12-02,id,13,83.1487322,2007.4388
4393,2020-12-03,id,13,82.5604912,2031.4397
4444,2020-12-04,id,13,82.48273209999999,2040.3109
4495,2020-12-05,id,13,82.5649424,2021.3105
4546,2020-12-06,id,13,83.2565616,2033.4943
4597,2020-12-07,id,13,83.0749903,2070.7483
14,2020-09-08,in,14,84.77109420000001,567.0001
59,2020-09-09,il,14,87.4321813,2764.0001
110,2020-09-10,il,14,87.806223,4529.9997
161,2020-09-11,il,14,88.1159601,6086.9996
212,2020-09-12,il,14,88.22496329999998,7688.9998
263,2020-09-13,il,14,88.02861899999999,9291.9997
314,2020-09-14,il,14,87.9133512,10825.0
365,2020-09-15,il,14,87.7418992,11367.0
416,2020-09-16,il,14,87.9505554,11123.9999
467,2020-09-17,il,14,87.7807592,10773.0008
518,2020-09-18,il,14,87.52128809999999,10565.0008
569,2020-09-19,il,14,87.17411659999999,10279.0007
620,2020-09-20,il,14,87.32102590000001,9917.0012
671,2020-09-21,il,14,87.3795815,9757.0013
722,2020-09-22,il,14,87.42022940000001,9558.001
773,2020-09-23,il,14,87.32923459999999,9442.001
824,2020-09-24,il,14,87.3271855,9330.0006
875,2020-09-25,il,14,87.3380097,9259.0008
926,2020-09-26,il,14,87.63069770000001,9276.001
977,2020-09-27,il,14,87.3902921,9456.0002
1028,2020-09-28,il,14,87.27073809999999,9594.9994
1079,2020-09-29,il,14,87.30909270000001,9623.9998
1130,2020-09-30,il,14,87.23906579999999,9532.0003
1181,2020-10-01,il,14,87.4035089,9585.0005
1232,2020-10-02,il,14,87.83378559999998,9661.0005
1283,2020-10-03,il,14,87.9402998,9680.0002
1334,2020-10-04,il,14,88.43141740000002,9702.0011
1385,2020-10-05,il,14,88.86642020000001,9641.0021
1436,2020-10-06,il,14,89.17871509999999,9910.0245
1487,2020-10-07,il,14,89.497946,10097.0237
1538,2020-10-08,il,14,89.40113649999999,10071.0459
1589,2020-10-09,il,14,89.24459590000001,9943.0457
1640,2020-10-10,il,14,89.4215205,9769.0459
1691,2020-10-11,il,14,89.2836598,9550.0452
1742,2020-10-12,il,14,89.0857833,9386.0447
1793,2020-10-13,il,14,88.8942219,9008.0221
1844,2020-10-14,il,14,88.43720440000001,8773.0226
1895,2020-10-15,il,14,88.6858621,8683.0227
1946,2020-10-16,il,14,88.68547690000001,8612.0232
1997,2020-10-17,il,14,88.62637840000001,8620.0227
2048,2020-10-18,il,14,88.7733858,8626.0231
2099,2020-10-19,il,14,88.86762850000001,8717.0229
2150,2020-10-20,il,14,89.1024052,8758.0227
2201,2020-10-21,il,14,89.4623687,8782.0222
2252,2020-10-22,il,14,89.2946966,8746.9996
2303,2020-10-23,il,14,89.1825285,8720.9994
2354,2020-10-24,il,14,89.25529420000001,8686.9996
2405,2020-10-25,il,14,89.4224415,8673.0215
2456,2020-10-26,il,14,89.8320444,8452.0218
2507,2020-10-27,il,14,89.820208,8118.0225
2558,2020-10-28,il,14,90.2400637,7873.0227
2609,2020-10-29,il,14,90.7157371,7544.0222
2660,2020-10-30,il,14,91.144995,7187.0219
2711,2020-10-31,il,14,91.03542159999999,7233.0223
2762,2020-11-01,il,14,91.0133265,7282.0008
2813,2020-11-02,il,14,90.8021101,7604.0008
2864,2020-11-03,il,14,90.81978079999999,7684.0006
2915,2020-11-04,il,14,90.254297,7156.0004
2966,2020-11-05,il,14,90.02455649999999,6921.001
3017,2020-11-06,il,14,90.22418909999999,7226.023
3068,2020-11-07,il,14,90.34690690000001,6572.0227
3119,2020-11-08,il,14,90.2137661,5941.0223
3170,2020-11-09,il,14,90.09966390000001,5620.0223
3221,2020-11-10,il,14,90.66992629999999,6060.0443
3272,2020-11-11,il,14,91.3956718,6978.0446
3323,2020-11-12,il,14,92.07290350000001,7713.0451
3374,2020-11-13,il,14,92.28026190000001,7985.0235
3425,2020-11-14,il,14,92.5251011,8969.0237
3476,2020-11-15,il,14,92.9181056,9961.0237
3527,2020-11-16,il,14,93.5117621,10256.0237
3578,2020-11-17,il,14,93.6117106,10213.0019
3629,2020-11-18,il,14,93.62621329999999,10299.0026
3680,2020-11-19,il,14,93.5435441,10322.0024
3731,2020-11-20,il,14,93.6392237,10493.0022
3782,2020-11-21,il,14,93.82849399999999,10669.0018
3833,2020-11-22,il,14,93.7076253,10766.0019
3884,2020-11-23,il,14,93.78298240000001,10800.002
3935,2020-11-24,il,14,94.0891897,10852.001
3986,2020-11-25,il,14,94.21957259999999,10820.0008
4037,2020-11-26,il,14,94.2594951,10843.0008
4088,2020-11-27,il,14,94.28107370000001,10779.0008
4139,2020-11-28,il,14,94.06643740000001,10625.0007
4190,2020-11-29,il,14,94.3280409,10498.0231
4241,2020-11-30,il,14,93.97986490000001,10522.0229
4292,2020-12-01,il,14,93.7692651,10712.0236
4343,2020-12-02,il,14,93.8802814,10890.0221
4394,2020-12-03,il,14,93.8752433,10979.0215
4445,2020-12-04,il,14,93.8023838,10979.0217
4496,2020-12-05,il,14,94.091507,10907.0218
4547,2020-12-06,il,14,94.063753,10856.0213
4598,2020-12-07,il,14,94.35427209999999,10901.0433
15,2020-09-08,ks,15,77.420525,266.9429
60,2020-09-09,in,15,84.2765278,1554.0045
111,2020-09-10,in,15,84.08481529999999,2616.0045
162,2020-09-11,in,15,84.08108990000001,3476.005
213,2020-09-12,in,15,84.1490963,4412.0077
264,2020-09-13,in,15,83.9690931,5373.0085
315,2020-09-14,in,15,83.81790079999999,6293.0079
366,2020-09-15,in,15,83.5815072,6647.0079
417,2020-09-16,in,15,83.4307972,6496.0066
468,2020-09-17,in,15,83.41387459999999,6206.0066
519,2020-09-18,in,15,83.1240596,6052.0055
570,2020-09-19,in,15,83.02062409999999,5862.0023
621,2020-09-20,in,15,83.04562159999999,5676.0019999999995
672,2020-09-21,in,15,82.899268,5528.0031
723,2020-09-22,in,15,82.6640752,5378.0035
774,2020-09-23,in,15,82.5464566,5273.0007
825,2020-09-24,in,15,82.3050436,5218.0007
876,2020-09-25,in,15,82.7052521,5200.0015
927,2020-09-26,in,15,82.37966920000001,5172.0022
978,2020-09-27,in,15,82.194568,5180.0032
1029,2020-09-28,in,15,82.450906,5193.0026
1080,2020-09-29,in,15,82.475701,5246.0019
1131,2020-09-30,in,15,82.8525604,5303.0012
1182,2020-10-01,in,15,83.1393074,5411.0013
1233,2020-10-02,in,15,83.2040964,5545.0005
1284,2020-10-03,in,15,83.74686059999999,5601.0008
1335,2020-10-04,in,15,84.2909923,5654.9989
1386,2020-10-05,in,15,84.34818299999999,5713.9991
1437,2020-10-06,in,15,84.7799482,5770.9994
1488,2020-10-07,in,15,84.77220059999999,5860.0005
1539,2020-10-08,in,15,85.0205344,5837.0
1590,2020-10-09,in,15,84.94798730000001,5769.0011
1641,2020-10-10,in,15,84.9842559,5723.0014
1692,2020-10-11,in,15,84.797347,5600.004
1743,2020-10-12,in,15,84.8830897,5559.0039
1794,2020-10-13,in,15,84.8309561,5441.0068
1845,2020-10-14,in,15,84.5558195,5357.0059
1896,2020-10-15,in,15,84.4463355,5345.0064
1947,2020-10-16,in,15,84.4206552,5272.0061
1998,2020-10-17,in,15,84.53342959999999,5207.0059
2049,2020-10-18,in,15,84.6960059,5295.0031
2100,2020-10-19,in,15,84.78833309999999,5314.0033
2151,2020-10-20,in,15,85.18902270000001,5289.0
2202,2020-10-21,in,15,85.75391390000001,5225.0024
2253,2020-10-22,in,15,85.99300290000001,5150.0027
2304,2020-10-23,in,15,86.2119279,5123.0028
2355,2020-10-24,in,15,86.1181632,5110.0016
2406,2020-10-25,in,15,85.8562422,4980.003
2457,2020-10-26,in,15,85.99999709999999,4824.0033
2508,2020-10-27,in,15,85.6546914,4673.0068
2559,2020-10-28,in,15,85.97370579999999,4487.0044
2610,2020-10-29,in,15,86.1467262,4211.0044
2661,2020-10-30,in,15,86.36826020000001,3942.0044
2712,2020-10-31,in,15,86.70295420000001,3951.0079
2763,2020-11-01,in,15,86.9897547,3992.0062
2814,2020-11-02,in,15,86.8440632,4077.0053
2865,2020-11-03,in,15,86.9495845,4064.0016
2916,2020-11-04,in,15,86.437364,3822.0024
2967,2020-11-05,in,15,86.1585682,3745.0019
3018,2020-11-06,in,15,86.14975940000001,3952.0021
3069,2020-11-07,in,15,85.8753056,3591.9995
3120,2020-11-08,in,15,86.0999554,3240.0004
3171,2020-11-09,in,15,86.4747439,3108.0036
3222,2020-11-10,in,15,87.0771408,3369.0073
3273,2020-11-11,in,15,88.043467,3909.0072
3324,2020-11-12,in,15,87.8319525,4367.0081
3375,2020-11-13,in,15,88.1876594,4507.0075
3426,2020-11-14,in,15,88.51458740000001,5001.0075
3477,2020-11-15,in,15,88.8216084,5532.008000000001
3528,2020-11-16,in,15,89.0445429,5745.0049
3579,2020-11-17,in,15,89.2153354,5734.0017
3630,2020-11-18,in,15,89.09389350000001,5771.0012
3681,2020-11-19,in,15,89.7900715,5763.0012
3732,2020-11-20,in,15,90.1017786,5894.0005
3783,2020-11-21,in,15,90.39296850000001,5979.0002
3834,2020-11-22,in,15,90.49544540000001,6054.0002
3885,2020-11-23,in,15,90.9053219,6052.0004
3936,2020-11-24,in,15,91.1745212,6078.0005
3987,2020-11-25,in,15,91.1759747,6079.0007
4038,2020-11-26,in,15,91.1852188,6039.9996
4089,2020-11-27,in,15,90.9067969,5987.0011
4140,2020-11-28,in,15,90.8320628,5960.0007
4191,2020-11-29,in,15,90.88673370000001,5896.9995
4242,2020-11-30,in,15,90.781513,5949.0057
4293,2020-12-01,in,15,91.26060190000001,6012.0056
4344,2020-12-02,in,15,91.56338530000001,6050.0088
4395,2020-12-03,in,15,91.52283940000001,6198.0084
4446,2020-12-04,in,15,91.824679,6170.0103
4497,2020-12-05,in,15,91.8134953,6186.0104
4548,2020-12-06,in,15,92.03720129999999,6184.0113
4599,2020-12-07,in,15,92.08408109999999,6208.0088
16,2020-09-08,ky,16,86.307437,323.9954
61,2020-09-09,ks,16,80.362854,739.9427
112,2020-09-10,ks,16,81.4942523,1222.9419
163,2020-09-11,ks,16,81.8530213,1665.9414
214,2020-09-12,ks,16,81.760085,2128.9414
265,2020-09-13,ks,16,81.22985940000001,2611.884
316,2020-09-14,ks,16,81.35297729999999,3068.8831
367,2020-09-15,ks,16,81.3791597,3228.9407
418,2020-09-16,ks,16,81.5244043,3183.9701
469,2020-09-17,ks,16,81.411598,3090.1167
520,2020-09-18,ks,16,81.4459728,3058.117
571,2020-09-19,ks,16,81.5669103,2948.1464
622,2020-09-20,ks,16,81.9797881,2866.2038
673,2020-09-21,ks,16,82.0687695,2791.2038
724,2020-09-22,ks,16,82.2704636,2772.2028
775,2020-09-23,ks,16,81.9508272,2734.1741
826,2020-09-24,ks,16,82.1299825,2688.0287
877,2020-09-25,ks,16,82.12291979999999,2631.0288
928,2020-09-26,ks,16,82.4433571,2639.0292
979,2020-09-27,ks,16,82.5680747,2634.9716
1030,2020-09-28,ks,16,82.2134185,2654.8583
1081,2020-09-29,ks,16,82.51660509999999,2580.8012
1132,2020-09-30,ks,16,82.5142906,2511.8297
1183,2020-10-01,ks,16,82.65921309999999,2532.8285
1234,2020-10-02,ks,16,82.95805059999999,2512.7136
1285,2020-10-03,ks,16,82.7698108,2537.6564
1336,2020-10-04,ks,16,82.7773296,2561.6566
1387,2020-10-05,ks,16,82.9402754,2545.7703
1438,2020-10-06,ks,16,82.6599311,2648.7709
1489,2020-10-07,ks,16,82.9872189,2746.7712
1540,2020-10-08,ks,16,82.7202907,2773.7718
1591,2020-10-09,ks,16,81.87480579999999,2820.887
1642,2020-10-10,ks,16,81.61334120000001,2796.914
1693,2020-10-11,ks,16,81.37643829999999,2767.0006
1744,2020-10-12,ks,16,81.3088949,2729.9434
1795,2020-10-13,ks,16,81.2638195,2670.0001
1846,2020-10-14,ks,16,81.06983520000001,2615.9133
1897,2020-10-15,ks,16,80.7611503,2599.9133
1948,2020-10-16,ks,16,81.30949140000001,2552.8556
1999,2020-10-17,ks,16,81.3154608,2510.8559
2050,2020-10-18,ks,16,81.7271249,2490.8268
2101,2020-10-19,ks,16,81.46391940000001,2525.8837
2152,2020-10-20,ks,16,81.429012,2488.8266
2203,2020-10-21,ks,16,81.4691493,2456.9136
2254,2020-10-22,ks,16,81.7361453,2366.9136
2305,2020-10-23,ks,16,81.8843025,2336.9144
2356,2020-10-24,ks,16,82.14886609999999,2309.9434
2407,2020-10-25,ks,16,81.7006153,2236.9429999999998
2458,2020-10-26,ks,16,82.897971,2188.9729
2509,2020-10-27,ks,16,83.8216628,2110.0303
2560,2020-10-28,ks,16,84.5291541,2006.0008
2611,2020-10-29,ks,16,85.1784785,1932.0006
2662,2020-10-30,ks,16,85.5026068,1851.0571
2713,2020-10-31,ks,16,85.8942157,1867.0279999999998
2764,2020-11-01,ks,16,86.4337809,1912.0577
2815,2020-11-02,ks,16,85.672768,1943.058
2866,2020-11-03,ks,16,84.7999568,2009.0581
2917,2020-11-04,ks,16,84.5486176,1931.0582
2968,2020-11-05,ks,16,83.85036059999999,1897.0591
3019,2020-11-06,ks,16,83.8347962,1951.0886
3070,2020-11-07,ks,16,83.3032001,1805.0886
3121,2020-11-08,ks,16,82.74194870000001,1665.0589
3172,2020-11-09,ks,16,83.6421949,1610.0291
3223,2020-11-10,ks,16,85.1105695,1695.0286
3274,2020-11-11,ks,16,85.6653809,1949.0281
3325,2020-11-12,ks,16,85.84965129999999,2144.027
3376,2020-11-13,ks,16,86.4003688,2238.0269
3427,2020-11-14,ks,16,86.53940340000001,2484.0273
3478,2020-11-15,ks,16,86.9639587,2680.0271
3529,2020-11-16,ks,16,87.3658362,2796.9699
3580,2020-11-17,ks,16,86.97384029999999,2750.9423
3631,2020-11-18,ks,16,87.0889223,2821.9425
3682,2020-11-19,ks,16,87.2299771,2907.9431
3733,2020-11-20,ks,16,87.2120944,2997.9429999999998
3784,2020-11-21,ks,16,87.6161719,3046.8855
3835,2020-11-22,ks,16,87.9634054,3109.8857
3886,2020-11-23,ks,16,87.9455131,3096.9726
3937,2020-11-24,ks,16,88.73260400000001,3145.0002
3988,2020-11-25,ks,16,88.8163607,3097.0291
4039,2020-11-26,ks,16,89.5796017,3084.0289
4090,2020-11-27,ks,16,89.54954129999999,3027.0288
4141,2020-11-28,ks,16,90.1100899,3007.1153
4192,2020-11-29,ks,16,90.3492022,3009.1159
4243,2020-11-30,ks,16,90.4424264,3007.0867
4294,2020-12-01,ks,16,90.116078,3110.1162
4345,2020-12-02,ks,16,90.2963971,3199.1464
4396,2020-12-03,ks,16,89.99963290000001,3224.1756
4447,2020-12-04,ks,16,90.2081232,3211.1462
4498,2020-12-05,ks,16,90.1418237,3230.1169
4549,2020-12-06,ks,16,90.373452,3235.1455
4600,2020-12-07,ks,16,90.51622929999999,3231.1448
17,2020-09-08,la,17,83.6609216,405.9997
62,2020-09-09,ky,17,85.7554011,872.9874
113,2020-09-10,ky,17,85.6834609,1502.0567
164,2020-09-11,ky,17,85.7937697,2112.0574
215,2020-09-12,ky,17,86.1426734,2689.8206
266,2020-09-13,ky,17,86.49923050000001,3323.8164
317,2020-09-14,ky,17,86.6579253,3910.5071
368,2020-09-15,ky,17,86.7042309,4127.2027
419,2020-09-16,ky,17,86.848261,4157.2022
470,2020-09-17,ky,17,87.16298859999999,4066.8183
521,2020-09-18,ky,17,86.6570875,4000.1984
572,2020-09-19,ky,17,86.6862171,3906.1262
623,2020-09-20,ky,17,86.17529300000001,3805.1313
674,2020-09-21,ky,17,86.21085409999999,3713.4389
725,2020-09-22,ky,17,85.7434668,3633.7476
776,2020-09-23,ky,17,85.6227002,3519.7515
827,2020-09-24,ky,17,85.6038892,3415.7478
878,2020-09-25,ky,17,86.22317679999999,3332.0536
929,2020-09-26,ky,17,86.00175229999999,3315.0529
980,2020-09-27,ky,17,86.4288142,3345.7407
1031,2020-09-28,ky,17,85.956987,3382.8123
1082,2020-09-29,ky,17,86.8127333,3412.8166
1133,2020-09-30,ky,17,87.0633673,3422.5099
1184,2020-10-01,ky,17,86.9203194,3486.8321
1235,2020-10-02,ky,17,87.219336,3505.8358
1286,2020-10-03,ky,17,87.3585063,3494.526
1337,2020-10-04,ky,17,87.6983019,3412.2174
1388,2020-10-05,ky,17,88.1755561,3380.8377
1439,2020-10-06,ky,17,87.79226259999999,3495.8298
1490,2020-10-07,ky,17,87.6379155,3592.1327
1541,2020-10-08,ky,17,87.9664587,3607.1299
1592,2020-10-09,ky,17,88.0247887,3638.8197
1643,2020-10-10,ky,17,88.0597218,3660.4398
1694,2020-10-11,ky,17,87.1516926,3697.4358
1745,2020-10-12,ky,17,87.0768161,3683.7459999999996
1796,2020-10-13,ky,17,87.20187879999999,3545.4307
1847,2020-10-14,ky,17,87.2128696,3478.1332
1898,2020-10-15,ky,17,86.8422137,3456.1279
1949,2020-10-16,ky,17,86.6496215,3288.7292
2000,2020-10-17,ky,17,86.77829179999999,3222.4186
2051,2020-10-18,ky,17,87.2290949,3187.4224
2102,2020-10-19,ky,17,87.1544096,3184.4184
2153,2020-10-20,ky,17,87.0330582,3234.1167
2204,2020-10-21,ky,17,87.15090959999999,3199.1129
2255,2020-10-22,ky,17,87.4507938,3140.1182
2306,2020-10-23,ky,17,87.02027650000001,3213.1324
2357,2020-10-24,ky,17,87.2652714,3196.4431
2408,2020-10-25,ky,17,87.7156041,3172.745
2459,2020-10-26,ky,17,87.7637577,3111.7481
2510,2020-10-27,ky,17,88.2027256,2939.369
2561,2020-10-28,ky,17,88.88466700000001,2798.6795
2612,2020-10-29,ky,17,89.0532294,2631.6778
2663,2020-10-30,ky,17,89.7790095,2463.3727
2714,2020-10-31,ky,17,89.6739065,2522.4451
2765,2020-11-01,ky,17,89.7914136,2495.759
2816,2020-11-02,ky,17,89.73691140000001,2567.1382
2867,2020-11-03,ky,17,89.4215449,2626.5141
2918,2020-11-04,ky,17,88.7146554,2488.5137
2969,2020-11-05,ky,17,88.2301035,2428.5099
3020,2020-11-06,ky,17,88.6440378,2543.5127
3071,2020-11-07,ky,17,88.41166820000001,2279.4309
3122,2020-11-08,ky,17,87.85109759999999,2075.4312
3173,2020-11-09,ky,17,88.02566850000001,1983.0523
3224,2020-11-10,ky,17,88.53360699999999,2128.6767
3275,2020-11-11,ky,17,88.8312448,2391.3624
3326,2020-11-12,ky,17,89.5446262,2669.3646
3377,2020-11-13,ky,17,89.1123296,2777.3602
3428,2020-11-14,ky,17,88.873985,3068.3694
3479,2020-11-15,ky,17,89.854219,3424.0552
3530,2020-11-16,ky,17,90.576911,3548.7415
3581,2020-11-17,ky,17,90.65530840000001,3557.1217
3632,2020-11-18,ky,17,90.819089,3598.8116
3683,2020-11-19,ky,17,90.90001,3641.8139
3734,2020-11-20,ky,17,91.50817059999999,3726.1168
3785,2020-11-21,ky,17,92.1795581,3803.1853
3836,2020-11-22,ky,17,92.3296789,3825.4956
3887,2020-11-23,ky,17,92.2553297,3827.4948
3938,2020-11-24,ky,17,92.5363189,3766.4975
3989,2020-11-25,ky,17,92.9470719,3797.1913
4040,2020-11-26,ky,17,93.1158267,3759.5663
4091,2020-11-27,ky,17,93.2520057,3687.2648
4142,2020-11-28,ky,17,93.1157506,3643.2651
4193,2020-11-29,ky,17,93.1167091,3658.3412
4244,2020-11-30,ky,17,93.5194372,3669.7213
4295,2020-12-01,ky,17,93.49563470000001,3810.0267
4346,2020-12-02,ky,17,93.31921190000001,3893.6513
4397,2020-12-03,ky,17,93.4207723,3994.6559
4448,2020-12-04,ky,17,93.2811765,4030.6374
4499,2020-12-05,ky,17,93.4442109,4054.6338
4550,2020-12-06,ky,17,93.13837459999999,4019.5605
4601,2020-12-07,ky,17,92.6469998,4022.8786
18,2020-09-08,ma,18,93.56661319999999,442.0015
